adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3460706704,26836000768,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3411856411,1746000000,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3421036123,939000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3421036123,17938000000,0,204,0,6,0,0,0,0,8,0,0,0,0,8,0
3421036123,8487000192,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3421036123,1252999936,\N,204,0,6,6603,6603,1,6603,0,1,0,0,0,0,1
3464881677,22100000128,0,204,0,6,0,0,0,0,7,0,0,0,0,7,0
3464886018,922257001728,0,204,0,6,0,0,0,0,276,0,0,0,0,276,0
3472241525,11349000192,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3475605830,1352999936,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3305017826,20620000064,0,204,0,6,0,0,0,0,14,0,0,0,0,14,0
3305017826,1177000000,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3332988500,34094000256,0,204,0,6,0,0,0,0,13,0,0,0,0,13,0
3374838258,333000000,0,204,0,6,0,0,0,0,1,0,0,0,1,0,0
3470645457,7581999872,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3472008713,4511000064,0,204,0,0,0,0,0,0,5,0,0,0,0,5,0
3475874421,7566999936,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3471257159,539000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464777436,17203999744,0,204,0,0,0,0,0,0,3,0,0,0,0,3,0
3476199986,2251000064,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464021784,73198002176,\N,204,0,6,0,0,0,0,0,0,1,0,1,0,0
3464886018,107293998080,0,204,0,6,0,0,0,0,5,0,0,0,0,5,0
3472213804,38693998592,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3305017826,2483033992192,0,204,0,6,0,0,0,0,83,0,0,0,0,83,0
3470645455,21155999744,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3470645475,31118000128,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3431293787,1601504979968,11333333,204,0,0,756876,754702,33.97340774536133,760131.375,3,34,0,0,0,3,34
3431293787,20541999104,0,204,0,0,0,0,0,0,1,0,0,0,1,0,0
3448543989,5727000064,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3460865826,1586928002560,0,204,0,0,0,0,0,0,73,0,0,0,0,73,0
3470251673,296729004032,0,204,0,0,0,0,0,0,11,0,0,0,0,11,0
3473430572,45847999488,500000,204,0,0,13951,13951,1,13951,2,1,0,0,0,2,1
3464746573,852949975040,\N,204,0,6,0,0,0,0,0,0,10,0,0,0,0
3476048421,37476999680,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3476048421,78898003968,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3477792297,339069992960,\N,204,0,6,0,0,0,0,0,0,10,0,0,0,0
3421036123,1198000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3475605830,16084000000,0,204,0,6,0,0,0,0,4,0,0,0,0,4,0
3332988500,50785999936,0,204,0,6,0,0,0,0,24,0,0,0,0,24,0
3374838258,27573999808,0,204,0,6,0,0,0,0,14,0,0,0,0,14,0
3470251687,3150000000,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3476048421,2555000064,\N,204,0,6,5226,5226,1,5226,0,1,0,0,0,0,1
3464021784,77324003328,\N,204,0,6,0,0,0,0,0,0,13,0,0,0,0
3471144890,3007000064,0,204,0,0,0,0,0,0,1,0,0,0,1,0,0
