process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,vc_pcvr_bias,valid_exposure_cnt,valid_click_cnt,active_num,real_cost_micros,single_gmv,gmv
20210605,40504315369553,未分组1,0,7,204,20633999360,0,0,0,0.0,1,0,0,0.00469,0.0,0.0
20210605,40106476583359,阅文系,1,10801,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40106476583359,阅文系,0,315,0,24895037037376,2566959,2733102,0,27.347881197929382,1928,26,0,6.27,0.0,0.0
20210605,20201368893836,TKD,1,405,402,0,0,0,0,0.0,0,0,1,0.0,100.0,200.0
20210605,60305460411544,阅文系,1,409,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70800426750600,QQ系,0,7,0,700894935236021888,717509000000,717510000000,0,9106119.0,8650641,717510,0,322397.1840299999,0.0,0.0
20210605,70800426750600,QQ系,0,104,108,489292001280,0,0,0,0.0,13,0,0,7.5,0.0,0.0
20210605,40701410311452,QQ系,0,10801,0,59056380029504,111307,118708,0,258.97230464220047,7910,40,0,59.41000000000002,0.0,0.0
20210605,30607480914543,阅文系,1,405,402,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,30206388181212,IEG,0,104,0,3895471997696,787054,750813,0,4.722882866859436,656,5,3,56.32999999999999,707.9,707.9
20210605,20306444885088,IEG,0,405,402,1703000000,0,0,0,0.0,2,0,0,0.0,0.0,0.0
20210605,50807530695352,TME,0,10,0,2933423990016,2108,2108,0,2.0,23,2,0,0.12876,0.0,0.0
20210605,40106476583359,未分组1,0,405,205,222921072773760,1341890,1363570,252896,173.3704879283905,2373,172,0,105.81000000000002,0.0,0.0
20210605,90603469797199,TME,0,406,0,127728001024,0,0,0,0.0,12,0,0,0.6000000000000001,0.0,0.0
20210605,10406450945135,阅文系,0,104,0,333426764063808,8086946,8736262,0,392.68821823596954,59963,309,4,601.60928,102.32,102.32
