process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,pcvr_bias,exposure_cnt,click_cnt,cost,gmv
20210605,40604491829077,IEG,0,104,105,0.0,98,0,3.789999999999999E-6,0.0
20210605,30502474797090,CSIG,0,105,0,1.8580975032549327,4146,320,1.2158661000000008E-4,0.0
20210605,30005422732564,其他,0,402,0,0.9412813339205015,11744,309,9.678428000000005E-5,0.0
20210605,30506472073904,TME,1,302,205,0.0,0,0,0.0,0.0
20210605,50806409090287,TME,0,104,108,0.0,42,0,3.6599999999999997E-6,0.0
20210605,90704445965875,IEG,0,402,0,0.6232659022013346,4,2,0.0,0.0
20210605,60402262989318,CSIG,0,108,0,0.7269630026189527,10351,290,2.5359015E-4,0.0
20210605,10005398496922,IEG,1,302,0,0.0,0,0,0.0,8.47
20210605,20102414297987,IEG,0,104,105,0.07585298071139143,31960,380,0.0010556200000000002,0.0
20210605,60608308136142,IEG,0,104,204,0.06160348813026159,35695,578,9.9725E-4,172.04
20210605,60005012352827,TKD,1,10801,0,0.0,0,0,0.0,0.0
20210605,30800591023329,TME,0,104,315,2.051145078179365,5813,339,2.1250386999999995E-4,39.4
20210605,20102414297987,IEG,0,315,0,0.0,5,0,0.0,0.0
20210605,50904485673781,IEG,0,10801,0,0.017964071856287425,257,3,2.452E-5,0.0
20210605,90704445965875,IEG,1,302,0,0.0,0,0,0.0,0.0
20210605,70006563700470,TME,0,402,0,0.0,5,0,0.0,0.0
20210605,70702022115052,TKD,0,301,204,0.01734873841239849,3573,76,1.0386999999999997E-4,0.0
20210605,70601378118790,TME,0,205,0,0.5471967743739541,20248,328,3.2427256999999996E-4,0.0
20210605,70304481261296,TME,1,104,204,0.0,0,0,0.0,0.0
20210605,90704445965875,未分组1,0,104,105,0.236469566822052,24,2,2.1999999999999996E-7,0.0
20210605,80304215099367,CSIG,1,402,0,0.0,0,0,0.0,0.0
20210605,70809455792733,CSIG,1,302,0,0.0,0,0,0.0,14.41
20210605,30208368992837,TKD,0,412,0,0.0,3,0,4.999999999999999E-8,0.0
20210605,70905490183934,IEG,0,205,0,0.0,16,0,2.5E-7,0.0
20210605,70601378118790,TME,0,302,205,0.1401166872544722,270,8,4.6599999999999994E-6,0.0
20210605,40504400147134,阅文系,1,104,108,0.0,0,0,0.0,0.0
20210605,70506421868294,TKD,1,405,402,0.0,0,0,0.0,400.0
20210605,70800426750600,QQ系,1,104,105,0.0,0,0,0.0,3104.24
20210605,90805444657273,CSIG,0,104,0,0.2,13,2,1.3E-7,0.0
20210605,90505451424076,IEG,0,104,105,0.019553072625698324,2407,14,2.8299999999999987E-5,0.0
20210605,20906306793614,TKD,1,301,0,0.0,0,0,0.0,103.80000000000001
20210605,10005398496922,IEG,0,301,0,0.06796140275655446,129089,2346,0.0029102021799999973,5940.34
20210605,70608348419857,IEG,1,405,204,0.0,0,0,0.0,8881.46
20210605,70601378118790,TME,0,406,0,0.0,126,0,4.408149999999995E-6,0.0
20210605,90100326256701,IEG,0,204,0,0.4297665344618147,16788,989,7.391599999999999E-4,0.0
20210605,60608308136142,IEG,1,205,0,0.0,0,0,0.0,0.0
20210605,70006491319394,QQ系,0,104,0,0.01763423162903055,16722,51,3.1715969999999984E-5,0.0
20210605,20102414297987,IEG,0,301,0,0.034694788241121904,7589,92,1.2205000000000001E-4,156.81
20210605,80303373095787,QQ系,0,302,0,0.4674985651854489,11535,1006,1.5592019E-4,0.0
20210605,70304481261296,TME,0,205,0,0.1724137931034483,79,5,1.35E-6,0.0
20210605,40106476583359,未分组1,0,108,0,0.0,27,0,2.3E-7,0.0
20210605,40903398619789,TME,0,405,204,0.11773031626984012,9129,318,2.982029199999999E-4,0.0
20210605,70707452477964,阅文系,1,104,315,0.0,0,0,0.0,0.0
20210605,70609460544983,IEG,1,302,0,0.0,0,0,0.0,0.0
20210605,30502474797090,CSIG,1,121,0,0.0,0,0,0.0,0.0
20210605,70800426750600,QQ系,1,405,204,0.0,0,0,0.0,1150.0
20210605,40903398619789,TME,0,104,10010,0.0,7,0,1.0E-8,0.0
20210605,90704445965875,IEG,0,302,205,0.0,10,0,0.0,0.0
20210605,40106476583359,未分组1,1,105,108,0.0,0,0,0.0,0.0
20210605,70908422871965,阅文系,1,301,0,0.0,0,0,0.0,2869.8500000000004
20210605,90301475842282,TME,0,104,0,0.04958032292053651,53814,920,3.244293600000002E-4,13.0
20210605,70707452477964,阅文系,1,302,205,0.0,0,0,0.0,0.0
20210605,70800426750600,QQ系,0,104,204,6.242722944779829,6333,1259,1.3759037E-4,0.0
20210605,70609460544983,IEG,1,204,108,0.0,0,0,0.0,0.0
20210605,70006491319394,QQ系,0,105,0,0.011627906976744186,1313,5,3.99821E-6,0.0
20210605,10707405966597,QQ系,0,106,0,25.120859033921185,24964,1655,3.488404999999999E-5,0.0
20210605,70506421868294,TKD,1,105,204,0.0,0,0,0.0,2730.0
20210605,50106403385474,IEG,0,204,0,0.0,13,0,7.399999999999999E-7,0.0
20210605,10005398496922,IEG,0,105,0,0.09598507762501401,246841,3560,0.011291975539999994,629.86
20210605,20201368893836,TKD,0,104,105,0.1697835907394803,144516,3672,0.00396894657,0.0
20210605,80303373095787,QQ系,1,104,204,0.0,0,0,0.0,0.0
20210605,90301475842282,TME,0,104,204,0.0280755363630526,210,4,4.8E-7,0.0
20210605,80904328951508,TME,0,105,108,0.0,9,0,6.3E-7,0.0
20210605,20906306793614,TKD,0,104,105,0.0,345,0,2.2E-7,0.0
20210605,50605442246954,IEG,0,204,0,0.12096621100906389,217013,4120,0.021980244630000003,5913.57
20210605,60003454983821,TME,0,409,0,125.42115430037181,45,4,4.587699999999999E-6,0.0
20210605,80909368092923,IEG,1,204,108,0.0,0,0,0.0,0.0
20210605,30208368992837,TKD,0,301,205,0.0,10,0,0.0,0.0
20210605,50609444954277,CSIG,0,301,0,0.016666666666666666,2204,6,1.02E-6,0.0
20210605,70506421868294,TKD,0,402,0,1.0455232739893523,1331032,12576,0.013910027810000001,0.0
20210605,40903398619789,TME,1,204,205,0.0,0,0,0.0,0.0
20210605,80303373095787,QQ系,0,107,0,0.6080268366039557,2990,430,1.7483999999999997E-4,0.0
20210605,20306444885088,IEG,1,204,0,0.0,0,0,0.0,0.0
20210605,70702022115052,TKD,1,405,409,0.0,0,0,0.0,3060.0
20210605,40504400147134,阅文系,1,301,205,0.0,0,0,0.0,0.0
20210605,20209449293196,TME,0,106,0,0.25925925925925924,727,21,4.51495E-6,0.0
20210605,50806409090287,TME,0,302,0,0.0,45,0,2.22E-6,0.0
20210605,50308424081820,TME,1,106,0,0.0,0,0,0.0,102.0
20210605,40504315369553,TME,1,104,315,0.0,0,0,0.0,3378.0
20210605,60807476850604,TKD,1,106,0,0.0,0,0,0.0,56.52
20210605,80909368092923,IEG,1,405,205,0.0,0,0,0.0,0.0
20210605,30400461864295,TME,1,105,0,0.0,0,0,0.0,0.0
20210605,30506472073904,TME,0,108,0,0.03600069338926967,7286,135,4.480764000000001E-5,0.0
20210605,60402262989318,CSIG,0,405,0,1.7613623005207615,2060312,79789,0.07706391723000003,0.0
20210605,90503492650537,IEG,0,301,205,0.0,1,0,0.0,0.0
20210605,60807476850604,TKD,0,108,0,0.07143651626564945,13515,308,2.504800000000001E-4,0.0
20210605,70707452477964,阅文系,0,315,405,0.0,7,0,0.0,0.0
20210605,10309012621387,QQ系,0,119,0,0.0,7,0,1.3999999999999998E-7,0.0
20210605,60304476255988,未分组1,0,405,204,0.09171629872748523,2706,66,0.001019769320000001,0.0
20210605,80303373095787,QQ系,1,104,10801,0.0,0,0,0.0,1720.0
20210605,50605442246954,IEG,1,105,108,0.0,0,0,0.0,0.0
20210605,70707452477964,阅文系,1,315,403,0.0,0,0,0.0,0.0
20210605,50002495342288,TME,1,104,10801,0.0,0,0,0.0,1601.76
20210605,50104416453989,未分组1,1,405,204,0.0,0,0,0.0,0.0
20210605,50104416453989,未分组1,0,104,108,0.0,5,0,4.6E-7,0.0
20210605,30607480914543,阅文系,0,104,204,0.3041579944261139,37971,1333,3.8011726E-4,81.06
20210605,70506421868294,TKD,1,315,0,0.0,0,0,0.0,42154.3
20210605,90301475842282,TME,1,104,0,0.0,0,0,0.0,223.51999999999998
20210605,60003454983821,TME,1,315,0,0.0,0,0,0.0,2582.84
20210605,40106476583359,未分组1,1,105,0,0.0,0,0,0.0,543.28
20210605,50807530695352,TME,0,405,204,0.17582278601267184,16676,589,4.424718899999999E-4,0.0
20210605,10600415585766,IEG,1,204,0,0.0,0,0,0.0,612.63
20210605,20900420119451,QQ系,0,104,10801,0.1964962005031942,8899,36,6.099880000000004E-5,0.0
20210605,60608308136142,IEG,0,104,10801,0.091692242388358,419651,4971,0.07992524901999998,4800.0
20210605,50604428212896,TKD,0,104,204,0.271955437093443,1083234,13148,0.0017474350899999995,326.5
20210605,50206368215858,IEG,0,301,0,0.0,46,0,4.529999999999999E-6,0.0
20210605,30005422732564,其他,0,405,0,0.25619241410762367,109089,1538,0.0035549595400000003,0.0
20210605,50807530695352,TME,0,409,0,606.6423746744791,2,1,1.6E-7,0.0
20210605,80904328951508,TME,0,315,405,0.5,5,2,8.9E-7,0.0
20210605,20209449293196,TME,1,205,0,0.0,0,0,0.0,245.0
20210605,30806358632143,IEG,0,405,205,0.09864528432965106,38315,1170,9.0704523E-4,0.0
