process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,70702022115052,TKD,1,104,0,0,0,0,0.0,0,0,7323123,13473,0.0,430674.70999999996
20210605,40301325569554,TME,0,405,205,5063630953957760,90105560,90345837,5319.027347683907,156078,4772,8,0,4650.640329999999,0.0
20210605,40504400147134,阅文系,1,105,106,0,0,0,0.0,0,0,185,0,0.0,0.0
20210605,30806358632143,IEG,1,105,106,0,0,0,0.0,0,0,2494,3,0.0,387.2
20210605,20306444885088,IEG,1,204,0,0,0,0,0.0,0,0,490,0,0.0,0.0
20210605,60608308136142,IEG,1,204,205,0,0,0,0.0,0,0,59,0,0.0,0.0
20210605,80309495536503,未分组1,0,10801,0,10438224996224,99437,99437,7.0,2879,7,1,0,139.14,0.0
20210605,80303373095787,QQ系,0,315,0,626669006347008,194773412,196247440,939.4247133731842,6210,593,0,0,284.2600000000001,0.0
20210605,60005012352827,QQ系,1,315,204,0,0,0,0.0,0,0,201,1,0.0,50.0
20210605,70702022115052,TKD,1,105,204,0,0,0,0.0,0,0,618,2,0.0,0.0
20210605,20209449293196,TME,0,106,0,20403259003968,36497,36497,21.0,727,21,0,0,4.51495,0.0
20210605,70804376351702,IEG,0,204,0,29641321010880,253487,276355,40.05587720870972,648,39,16,0,12.947600000000003,0.0
20210605,30602476557982,CSIG,1,7,204,0,0,0,0.0,0,0,6,0,0.0,0.0
20210605,60608308136142,IEG,1,104,108,0,0,0,0.0,0,0,443,3,0.0,0.0
20210605,20900420119451,QQ系,0,105,10801,2827440002304,2551,6583,966.900146484375,870,3,0,0,23.709999999999994,0.0
20210605,80904328951508,TME,0,405,204,157732834946944,1054691,1081430,208.15116393566132,3943,199,0,0,122.23272000000003,0.0
20210605,10600415585766,IEG,0,7,204,44617000576,0,0,0.0,6,0,0,0,0.01,0.0
20210605,50605442246954,IEG,1,301,108,0,0,0,0.0,0,0,10,0,0.0,0.0
20210605,70707452477964,阅文系,1,121,0,0,0,0,0.0,0,0,111,0,0.0,0.0
20210605,40706426556602,未分组1,1,405,0,0,0,0,0.0,0,0,818,0,0.0,0.0
20210605,70702022115052,TKD,0,204,108,1739977716849600,21845006,21926323,1641.54802942276,328296,1629,0,0,4719.779519999999,0.0
20210605,30208368992837,TKD,1,10801,0,0,0,0,0.0,0,0,663,1,0.0,936.78
20210605,70707452477964,阅文系,1,108,0,0,0,0,0.0,0,0,686,9,0.0,3.48
20210605,40809434919914,CSIG,0,104,106,900969000704,8174,8174,1.0,46,1,0,0,0.2351,0.0
20210605,50308424081820,TME,0,301,108,202262598739968,116055842,115961600,183.86725616455078,1304,184,0,0,86.27000000000005,0.0
20210605,50002495342288,TME,0,104,105,804583001024,12788,12788,1.0,49,1,0,0,0.46,0.0
20210605,30506472073904,TME,1,405,204,0,0,0,0.0,0,0,2206,7,0.0,1035.94
20210605,30506472073904,TME,1,204,205,0,0,0,0.0,0,0,309,0,0.0,0.0
20210605,60508439594416,TME,1,204,0,0,0,0,0.0,0,0,44,1,0.0,170.0
20210605,50206368215858,IEG,0,302,0,28184000512,0,0,0.0,2,0,0,0,0.26999999999999996,0.0
20210605,20204533209471,TME,1,104,106,0,0,0,0.0,0,0,363,2,0.0,0.0
20210605,30400461864295,TME,0,105,106,714883006464,0,0,0.0,10,0,0,0,0.04,0.0
20210605,30602476557982,CSIG,0,302,0,4398723014656,24467,19163,3.6600000262260437,43,5,0,0,2.790000000000001,0.0
20210605,70908422871965,阅文系,1,108,0,0,0,0,0.0,0,0,695,3,0.0,118.0
20210605,30206388181212,IEG,1,204,0,0,0,0,0.0,0,0,2,0,0.0,0.0
20210605,10005398496922,IEG,1,301,0,0,0,0,0.0,0,0,16281,1218,0.0,1454.61
20210605,10005398496922,IEG,0,402,0,106969001600,0,0,0.0,15,0,0,0,0.049999999999999996,0.0
20210605,40504400147134,阅文系,1,204,108,0,0,0,0.0,0,0,32,0,0.0,0.0
20210605,40504400147134,阅文系,1,7,204,0,0,0,0.0,0,0,70,0,0.0,0.0
20210605,40706426556602,QQ系,1,105,204,0,0,0,0.0,0,0,244,0,0.0,0.0
20210605,30602476557982,CSIG,1,7,0,0,0,0,0.0,0,0,104,0,0.0,0.0
20210605,80605561822013,IEG,0,10801,0,97713998848,0,0,0.0,9,0,0,0,0.09999999999999999,0.0
20210605,40903398619789,TME,0,412,0,858808996992,594,1532,2.578535556793213,73,1,0,0,0.8402799999999998,0.0
20210605,60608308136142,IEG,0,6,0,2807000064,0,0,0.0,1,0,0,0,0.0,0.0
20210605,50308424081820,TME,1,104,204,0,0,0,0.0,0,0,7938,4,0.0,0.0
20210605,90100470046973,IEG,1,104,10801,0,0,0,0.0,0,0,30,0,0.0,0.0
20210605,30302471412393,QQ系,0,301,108,2041096005056,235142,235142,1.0,291,1,0,0,1.7552200000000004,0.0
20210605,70304481261296,TME,1,315,0,0,0,0,0.0,0,0,40791,1635,0.0,2603.93
20210605,80309495536503,未分组1,0,405,204,374142085953024,10708475,10708475,321.0,118668,321,0,0,2487.22329,0.0
20210605,60005012352827,QQ系,0,405,204,33045478874444800,321310311,324296491,35126.476290881634,1146140,34487,0,0,59029.70626999996,0.0
20210605,70506421868294,TKD,0,104,106,1681575419336471424,72846476024,73302168804,1924947.7232640833,75288988,1680851,6835350,6216,1167646.9286099998,559278.75
20210605,70006491319394,QQ系,0,104,105,5718529006208,9644,9644,3.0,1228,3,0,0,1.0974800000000002,0.0
20210605,50807530695352,TME,1,104,315,0,0,0,0.0,0,0,1913,3,0.0,16.4
20210605,50901413830594,IEG,0,104,10801,6136251005568,1738112,1738112,6.0,909,6,590,0,53.70999999999999,0.0
20210605,20201368893836,TKD,0,105,0,3224697528917952,71275331,72522829,5502.895675718784,202618,3262,5,0,2218.3178999999996,0.0
20210605,20102414297987,IEG,1,405,0,0,0,0,0.0,0,0,2512,14,0.0,917.07
20210605,30800591023329,TME,0,302,0,652971535920064,209347269,209670663,575.5237090587616,40686,574,0,0,89.94868999999997,0.0
20210605,30208368992837,TKD,1,301,204,0,0,0,0.0,0,0,24,5,0.0,0.0
20210605,50106403385474,IEG,1,405,0,0,0,0,0.0,0,0,3,0,0.0,0.0
20210605,40106476583359,阅文系,1,104,106,0,0,0,0.0,0,0,1642,1,0.0,350.0
20210605,40701410311452,QQ系,1,104,10801,0,0,0,0.0,0,0,1232,6,0.0,0.0
20210605,40701410311452,QQ系,1,405,205,0,0,0,0.0,0,0,155,0,0.0,0.0
20210605,30506472073904,TME,0,406,0,3930606012416,4252,2409,2.599100708961487,803,4,0,0,1.3320600000000007,0.0
20210605,70707452477964,阅文系,0,104,204,24506464926976,96794,97367,22.4076566696167,1764,22,0,0,1.7433499999999995,0.0
20210605,90704445965875,IEG,0,104,10801,184882623075328,514044,545870,235.0520579814911,3295,184,0,0,56.20062999999998,0.0
20210605,90503492650537,IEG,0,7,0,77413000832,0,0,0.0,17,0,0,0,0.35,0.0
20210605,60303415282763,IEG,1,301,0,0,0,0,0.0,0,0,4,1,0.0,2.5
20210605,90704445965875,IEG,0,406,0,47111000064,0,0,0.0,1,0,0,0,0.0,0.0
20210605,40701491823377,CSIG,0,205,0,82144000000,0,0,0.0,0,0,0,0,0.0,0.0
20210605,60304476255988,未分组1,0,108,0,41664999424,0,0,0.0,1,0,0,0,0.16999999999999998,0.0
20210605,40706426556602,QQ系,1,403,0,0,0,0,0.0,0,0,100,0,0.0,0.0
20210605,60305460411544,阅文系,0,105,0,757289606086720,26214876,26447119,2607.5987020730972,124951,698,60,11,972.21848,841.85
20210605,40701410311452,QQ系,0,204,0,242425319996224,1454058,1605943,691.1739747524261,55571,217,0,0,116.99921000000005,0.0
20210605,70702022115052,TKD,0,104,315,8367700220931136,1614897628,1624942993,7941.1718313694,659843,7854,195018,487,12291.51561,24697.4
20210605,80909368092923,IEG,1,105,0,0,0,0,0.0,0,0,904,2,0.0,229.04999999999998
20210605,20209449293196,TME,0,10801,0,10031786986304,355700,348037,10.682151138782501,1477,11,268,0,152.86,0.0
20210605,20604530875002,TME,0,405,402,52707000320,0,0,0.0,1,0,0,0,0.16,0.0
20210605,90301475842282,TME,0,205,0,53072346045376,25323,30921,227.77215495705605,3432,25,2,0,33.73073000000001,0.0
20210605,90503492650537,IEG,1,105,10801,0,0,0,0.0,0,0,852,5,0.0,0.0
20210605,20009480643972,IEG,1,104,10801,0,0,0,0.0,0,0,31,10,0.0,1810.0
20210605,40707432255536,IEG,1,315,0,0,0,0,0.0,0,0,140,10,0.0,23.0
20210605,40706426556602,QQ系,0,405,0,94572110145998208,3653162557,3703793634,735680.8440446854,4051037,95772,0,0,28638.350710000006,0.0
20210605,50901413830594,IEG,1,105,0,0,0,0,0.0,0,0,34,0,0.0,0.0
20210605,50901413830594,IEG,0,105,0,4552375994496,332609,332609,4.0,543,4,0,0,22.109999999999996,0.0
20210605,70702022115052,TKD,1,402,10009,0,0,0,0.0,0,0,294,0,0.0,0.0
