process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,70800426750600,QQ系,0,104,0,1434511,234672,4,0,191745150714106880,2853678498,173452,53009.83257000002,696.0,0.0
20210605,10907511528330,TME,1,104,0,0,0,1,0,0,0,0,0.0,19.78,0.0
20210605,10406450945135,阅文系,0,104,0,59964,309,5,0,333429480063808,8736262,0,601.60928,118.32,0.0
20210605,30800591023329,TME,0,104,0,230380,8576,16,0,8624273714606464,98311240,15969,1778.9746299999981,374.80999999999995,0.0
20210605,60508439594416,TME,0,104,0,2165,8,1,0,10953496012352,936777,0,76.66999999999996,16.0,0.0
20210605,30302471412393,QQ系,1,104,0,0,0,19,0,0,0,0,0.0,231.81,0.0
20210605,50807530695352,TME,0,104,0,143762,10265,23,0,11128538431406592,168979679,14259,2978.4045299999993,409.66999999999996,0.0
20210605,20306444885088,IEG,0,104,0,18756,61,1,0,81777084983424,1590492,0,40.201999999999984,26.1,0.0
20210605,60700493537595,IEG,0,104,0,616,1,0,0,5608535986048,279088,0,50.77999999999999,0.0,0.0
20210605,20105445936502,未分组1,1,104,0,0,0,669,0,0,0,0,0.0,16325.44,0.0
20210605,60807476850604,TKD,1,104,0,0,0,17558,0,0,0,0,0.0,331805.6699999999,0.0
20210605,90903124471793,其他,0,104,0,3940,23,0,0,59707562990016,30558,0,0.7,0.0,0.0
20210605,60303415282763,IEG,1,104,0,0,0,12,0,0,0,0,0.0,707.37,0.0
20210605,40706426556602,QQ系,1,104,0,0,0,13856,0,0,0,0,0.0,185244.06000000003,0.0
20210605,40504315369553,未分组1,0,104,0,11164,91,0,0,86664182032704,4118857,0,76.32506000000001,0.0,0.0
20210605,10005398496922,IEG,1,104,0,0,0,255,0,0,0,0,0.0,5397.68,0.0
20210605,30502474797090,CSIG,1,104,0,0,0,152,0,0,0,0,0.0,2269.91,0.0
20210605,70702022115052,TKD,1,104,0,0,0,13543,0,0,0,0,0.0,432482.12,0.0
20210605,30602476557982,CSIG,0,104,0,123723,11487,17,0,12265311042046016,1864673482,27206,20658.753540000005,140.58,0.0
20210605,10406450945135,阅文系,1,104,0,0,0,13,0,0,0,0,0.0,733.95,0.0
20210605,40701491823377,CSIG,0,104,0,3832,88,0,0,132286346994816,470621,0,14.689999999999994,0.0,0.0
20210605,90704445965875,IEG,0,104,0,9899,713,0,0,776954749230592,24134184,0,216.0851100000001,0.0,0.0
20210605,50309348389211,IEG,1,104,0,0,0,3,0,0,0,0,0.0,40.2,0.0
20210605,60305460411544,阅文系,1,104,0,0,0,92,0,0,0,0,0.0,3897.6600000000008,0.0
20210605,70905490183934,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40106476583359,阅文系,1,104,0,0,0,4,0,0,0,0,0.0,46.45,0.0
20210605,20604530875002,TME,0,104,0,5115,53,4,0,66116261083008,9248354,0,315.07000000000005,88.7,0.0
20210605,10509414896986,IEG,0,104,0,40857,468,11,0,472697338984768,19047557,28000,1159.34582,480.02,0.0
20210605,70608348419857,IEG,0,104,0,68028,1515,10,0,1622822922286016,234335555,4890,7257.796989999998,237.5,0.0
