process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,click_gmv,no_click_gmv
20210605,30506472073904,2071265498841223,104,0,1169,14,3,0,17870290008704,2052368,0,59.86475999999994,84.93,0.0,55.22,29.71
20210605,60305460411544,7021986626890618,105,10801,2,0,0,0,15156999680,0,0,0.17146,0.0,0.0,0.0,0.0
20210605,70702022115052,8000422069930553,7,204,26,0,0,0,55296999872,0,0,0.08234000000000001,0.0,0.0,0.0,0.0
20210605,60005012352827,8020864923812002,204,0,18492,307,12,0,297984763966720,8446672,0,318.25994999999995,881.6,0.0,670.33,211.27
20210605,20604530875002,3081142520752502,104,0,1172,20,1,0,23474420044032,3357344,0,105.93237000000005,12.0,0.0,12.0,0.0
20210605,70506421868294,7000085975246629,104,108,2379,20,1,0,20042561009728,1239994,145918,31.04160999999999,0.0,0.0,0.0,0.0
20210605,70601378118790,5061758290192856,104,106,74,2,0,0,2846627006464,36566,20840,0.8697900000000002,0.0,0.0,0.0,0.0
20210605,40301325569554,7011714331175924,301,0,753,3,0,0,4971006992448,234538,0,2.4637399999999987,0.0,0.0,0.0,0.0
20210605,60305460411544,4040197183321841,108,0,1,0,0,0,22859999232,0,0,0.15,0.0,0.0,0.0,0.0
20210605,30208368992837,1030362414648851,104,10801,6084,809,7,1,777278280657408,11539794,1889151,215.02999999999997,0.0,266.0,266.0,0.0
20210605,60305460411544,9061063563845334,104,10801,349,2,0,0,4418641996544,65539,633,36.18442999999999,0.0,0.0,0.0,0.0
20210605,70608348419857,1041315933197115,108,0,4,0,0,0,22016000512,0,0,0.38999999999999996,0.0,0.0,0.0,0.0
20210605,50002495342288,8031373430018833,105,0,1634,24,0,0,39342900961664,67121,0,4.893019999999999,0.0,0.0,0.0,0.0
20210605,40301325569554,4011426304049228,402,0,84,1,0,0,495201997824,65851,0,1.00662,0.0,0.0,0.0,0.0
20210605,30607480914543,5071175778726785,302,119,11,1,0,0,180995999744,995,0,0.13999999999999999,0.0,0.0,0.0,0.0
20210605,30208368992837,1030362414648851,7,0,17556,1915,0,0,1998718630512128,1915000000,0,949.0610199999998,0.0,0.0,0.0,0.0
20210605,30607480914543,3080776173690254,405,205,1262,167,0,0,192681306163200,142688,2476,4.6795699999999965,0.0,0.0,0.0,0.0
20210605,40301325569554,8061050180350627,204,108,1411,9,0,0,14956147033664,167392,38023,88.3224,0.0,0.0,0.0,0.0
20210605,70506421868294,2030561080230421,108,0,106268,902,17,0,912690780220736,18409476,0,816.1266700000002,680.0,0.0,680.0,0.0
20210605,80309495536503,4031249550607502,105,10801,5,0,0,0,19676999936,0,0,0.16999999999999998,0.0,0.0,0.0,0.0
