process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,gmv
20210605,10309012621387,6020296181955926,104,108,28,3,2,0,506867000320,72555,5599,0.23,0,0,0
20210605,70405412545955,3061470448536689,104,105,216,1,0,0,2820822006016,162922,12914,23.34156,0,0,0
20210605,10309012621387,7031138401897957,104,105,3,0,0,0,147320000512,0,0,0.04,0,0,0
20210605,20306444885088,2051915444278815,104,315,2,0,0,0,1690000000,0,0,0,0,0,0
20210605,20306444885088,8021418444970892,104,108,7,0,0,0,30439999744,0,0,0.01591,0,0,0
20210605,30806358632143,8041569295857557,104,0,2,0,0,0,20673999872,0,0,0.12798,0,0,0
20210605,70702022115052,5090437164960441,104,0,2715730,36874,1390,0,41532694663441408,822636067,0,25441.66345,31177.55000000001,0,31177.55000000001
20210605,20201368893836,1030486135531251,104,0,55583,415,24,0,472277642117184,14762949,0,533.62464,523.95,0,523.95
20210605,50309348389211,3010056491085714,104,10801,6349,31,4,0,33521556008768,7863639,775069,451.96,0,0,0
20210605,70100221174573,7070365994534198,104,204,644,48,0,0,46025587977216,568747,18720,3.2231,0,0,0
20210605,30607480914543,4011360871962735,104,0,31152,765,5,0,796118355941248,19508677,0,302.94585,130.82,0,130.82
20210605,70702022115052,4031475713982577,104,105,2498,31,1,0,40086667999232,730322,338955,25.95464,0,0,0
20210605,50605442246954,4051309568772803,104,105,3539,62,8,6,72281830026176,9295023,4341912,259.81547,0,353.44,353.44
20210605,30208368992837,1030362414648851,104,105,452,52,0,0,43550525908224,2682495,2741338,30.5,0,0,0
20210605,90903124471793,5060060977939911,104,105,1091,11,0,0,17162258987520,5895,1726,0,0,0,0
20210605,10005398496922,8061659189897250,104,0,110,2,0,0,1786953017024,96902,0,0.82125,0,0,0
20210605,30605462917931,5060391352290779,104,105,21,0,0,0,149921998592,0,0,0.16,0,0,0
20210605,70702022115052,6021229549065246,104,105,8,0,0,0,117650001408,0,0,0.22209,0,0,0
20210605,10309012621387,2020602879601080,104,10801,347895,6786,105,13,6684439518630528,91660515,7458733,13302.35461,0,13572.73,13572.73
20210605,10406450945135,3080161887126418,104,106,2648,18,2,0,16827658022528,2684993,686272,73.64192,0,0,0
20210605,80909368092923,7080057611751949,104,10801,47259,415,54,4,423409579987840,36882991,3573536,7151.02339,0,13330,13330
20210605,60005012352827,7031306222925586,104,106,3626,206,11,0,210267794217216,9475092,2839332,182.49553,0,0,0
20210605,50002495342288,3011009773907460,104,106,1537,6,0,0,5834879014976,162780,135744,7.01315,0,0,0
20210605,90503492650537,5061500878291827,104,204,64,0,0,0,911840005504,0,0,0.28,0,0,0
20210605,80909368092923,7010153998769701,104,0,231,4,0,0,3522352007872,125876,0,2.65144,0,0,0
20210605,10509414896986,7081501243299781,104,108,30,0,0,0,348563999040,0,0,0.2973,0,0,0
20210605,10005398496922,8091440507742001,104,108,128,0,0,0,819743002304,0,0,4.81007,0,0,0
20210605,40903398619789,8041345400234150,104,10801,56,2,1,0,868713997824,167949,3233,2.0368,0,0,0
20210605,30208368992837,1070745805400343,104,108,2,0,0,0,7298999808,0,0,0,0,0,0
20210605,10309012621387,7031138401897957,104,10801,1,0,0,0,20263999488,0,0,0.02,0,0,0
20210605,70506421868294,6020833307694317,104,108,74459,1871,155,2,1942020440872192,169428967,9996960,1893.39075,0,460,460
20210605,70506421868294,1090733587107146,104,315,163648,2593,419,970,2553564042777728,495344006,649762529,3412.8727,0,3566.000000000001,3566.000000000001
20210605,30607480914543,2071564851368696,104,315,3691,424,43,54,437745191042816,41452020,63462791,283.74578,0,208.29999999999998,208.29999999999998
20210605,40504400147134,7030551714218660,104,10801,9094,98,12,1,86764030949888,11648958,1685733,1106.57826,0,975,975
20210605,90704445965875,7061060395531368,104,10801,2085,112,0,0,104643356076032,355498,20287,32.53258,0,0,0
20210605,70702022115052,2010075087186206,104,105,104859,1003,38,18,1063893226275520,38431178,28165039,1857.54375,0,939.98,939.98
20210605,70702022115052,6070501516584281,104,204,6778,63,0,0,60670460988992,296671,75307,10.38471,0,0,0
20210605,40701410311452,6070856576860274,104,10801,8619,96,6,0,100990164049344,4391192,587126,70.67413,0,0,0
20210605,20201368893836,9020243845002050,104,108,767,52,2,0,59231738877184,3599988,385991,51.81414,0,0,0
20210605,60608308136142,8041675922966476,104,204,2207,50,2,0,59254895003840,3208465,1014235,105.2749,0,0,0
20210605,50806409090287,4071037850073782,104,315,12,0,0,0,74957999616,0,0,0.27,0,0,0
20210605,40301325569554,6001420272928236,104,10801,61,3,0,0,1785613982720,85312,44244,11.01025,0,0,0
20210605,60005012352827,6030367771415867,104,106,5,0,0,0,229073997824,0,0,0.14,0,0,0
20210605,30806358632143,7091300641091180,104,106,289989,3331,280,90,3514945996824640,288469460,79827379,10573.96128,0,13167.03,13167.03
20210605,10604328256510,5030041477159928,104,10801,29591,1890,62,12,1936522844404224,75644859,11759788,619.45,0,820.66,820.66
20210605,80909368092923,4001174428013898,104,0,2246,21,1,0,24068553996480,2235567,0,146.10828,18.99,0,18.99
20210605,10406450945135,5000160377544627,104,106,331,2,1,1,3507398995200,508866,414279,21.00362,0,151.89,151.89
20210605,60005012352827,5011938321578756,104,0,154468,6456,226,0,6804449365515776,150573051,0,3039.25378,3907.4900000000002,0,3907.4900000000002
20210605,10309012621387,3090720572190768,104,106,2867,29,3,1,40882181005184,1168479,970120,38.08634,0,39.6,39.6
20210605,60005012352827,4091569797816435,104,0,70234,3826,273,0,2910967875719808,283733774,0,5799.10131,5414.95,0,5414.95
20210605,60303415282763,4031021490197857,104,10801,349,1,0,0,2284302999552,95290,10836,53.58428,0,0,0
20210605,10005398496922,7030058908867678,104,106,969,11,1,0,17384201983680,393720,118843,9.81496,0,0,0
20210605,30208368992837,4070680103327425,104,105,138,1,0,0,1073163000064,354,170,3.64416,0,0,0
20210605,70506421868294,9021778071430959,104,315,222,0,0,0,1536600998912,0,0,2.70385,0,0,0
20210605,70908422871965,7030798318622912,104,10801,1,0,0,0,15696000000,0,0,0.14,0,0,0
20210605,70506421868294,5090316862174444,104,10601,1,0,0,0,3527000064,0,0,0,0,0,0
20210605,50604428212896,9061124419424993,104,10801,937835,11922,45,6,10754869349974016,43994481,5580236,2462.20425,0,2109.33,2109.33
20210605,60303415282763,9091848856928991,104,10801,9680,45,5,1,47524921991872,5910310,877102,1201.11694,0,1299,1299
20210605,30208368992837,3090046835108199,104,0,69913,511,2,0,508319329905280,4263138,0,212.69462,53.629999999999995,0,53.629999999999995
20210605,50609444954277,7050496777471830,104,0,406014,2018,132,0,2403609822095488,127114183,0,3194.78226,2948.3199999999993,0,2948.3199999999993
20210605,50604428212896,9021421826953475,104,0,29544,1239,15,0,1347533711231232,16081207,0,312.72578,191.77,0,191.77
20210605,70506421868294,9030584673868607,104,10801,3175,6,0,0,8192215007872,42090,3482,8.08877,0,0,0
20210605,30208368992837,5060781113824412,104,10801,385,3,0,0,3373532992704,82590,2100,46.43471,0,0,0
20210605,70100221174573,6050946423208461,104,106,1202,0,0,0,25254636021376,0,0,1.87,0,0,0
20210605,70506421868294,5090316862174444,104,108,852,3,0,0,4480125990720,26781,16341,5.18643,0,0,0
20210605,70608348419857,3081684210671442,104,105,40,0,0,0,196702002048,0,0,1.37631,0,0,0
20210605,90301475842282,8011509783808462,104,108,2,0,0,0,8136000256,0,0,0,0,0,0
20210605,70506421868294,3011507176431970,104,0,1572217,63504,2255,0,64151884237772224,2691652221,0,67645.3951,50129.720000000016,0,50129.720000000016
20210605,70702022115052,9010127235347194,104,0,4099357,63019,2430,0,72904944913837696,1632276550,0,52530.37739,58969.52999999999,0,58969.52999999999
20210605,50605442246954,3071770488738602,104,106,57616,2623,488,194,2399262388309824,602277955,190154185,10882.41967,0,12548.889999999998,12548.889999999998
20210605,40706426556602,6020954314138204,104,315,103776,7392,752,1833,7449847377245056,807528531,1137888003,4976.11657,0,6356.7,6356.7
20210605,10309012621387,8090302387112051,104,106,1073816,17658,766,182,18431247493549760,753936149,205965649,16794.60813,0,21665.830000000005,21665.830000000005
20210605,50604428212896,1071127815784792,104,0,37760,9619,11,0,10110162523546240,28536104,0,862.19495,239.41,0,239.41
20210605,40903398619789,3081545495501256,104,106,3422,46,13,6,55860781007616,16804470,5169247,208.12096,0,320.63,320.63
20210605,20102414297987,3081901214005144,104,10801,4130,34,6,0,42950218943616,4818048,648540,803.58097,0,0,0
20210605,20102414297987,7071400243398726,104,0,18355,201,13,0,221145737965760,15119154,0,423.59876,322.03999999999996,0,322.03999999999996
20210605,70702022115052,8000714242475236,104,315,686,1,0,0,2391683999360,38222,94505,1.26631,0,0,0
20210605,80904328951508,1061762419338791,104,315,30,1,1,1,474083001856,677228,839819,1.22204,0,4,4
20210605,10506450549984,3090479298616237,104,10801,299,1,0,0,2636375998976,14736,10731,9.58439,0,0,0
20210605,60005012352827,7091620262430393,104,105,713,14,0,0,20654275001344,92706,53385,2.41635,0,0,0
20210605,30506472073904,6090880420503002,104,0,748,19,1,0,23356102993216,3026243,0,15.79097,2.52,0,2.52
20210605,80909368092923,1081873468328445,104,105,37,1,0,0,456055004032,36452,13354,2.0938,0,0,0
20210605,50106403385474,6040294244999362,104,10801,7,0,0,0,42516000768,0,0,0.21,0,0,0
20210605,10406450945135,3080161887126418,104,108,4,0,0,0,31620000256,0,0,0.29,0,0,0
20210605,30800591023329,6071350163759142,104,106,40456,1401,35,7,1413807789293120,46281926,8764926,139.33145,0,1085,1085
20210605,70506421868294,1090733587107146,104,108,207566,4024,473,17,3996933637770752,444823607,18086251,3006.36793,0,3490.16,3490.16
20210605,70506421868294,2040783931422171,104,10801,53030,135,0,0,126981111988672,6045401,609413,309.12243,0,0,0
20210605,60005012352827,6071339371377140,104,106,5793,206,6,4,186574256014592,4465370,1130970,217.32097,0,567.84,567.84
20210605,50206368215858,5031505718636833,104,10801,1371,40,1,0,25989805953536,4544002,836428,579.87592,0,0,0
20210605,60608308136142,1000091214199987,104,105,8839,133,9,3,146003663114944,8132735,4089267,208.45422,0,120,120
20210605,30607480914543,1000295103927862,104,204,160,9,0,0,11312542928128,62918,48051,3.28517,0,0,0
20210605,60305460411544,4030761530660446,104,0,852,8,2,0,15028627006336,294384,0,59.09771,35.31,0,35.31
20210605,50308424081820,5071206103169287,104,108,125,5,0,0,5467721024512,7093,855,0.19086,0,0,0
20210605,10005398496922,6041551159494117,104,106,549,4,1,0,3745414003456,677651,169327,4.19496,0,0,0
20210605,70506421868294,8091422584030606,104,0,54,2,0,0,4388795981824,92560,0,3.23,0,0,0
20210605,70506421868294,9030584673868607,104,204,97,0,0,0,373502999552,0,0,0.09969,0,0,0
20210605,10309012621387,144120725111690447,104,105,461,14,0,0,8659506018368,45939,22359,3.75179,0,0,0
20210605,10406450945135,4090766867324479,104,105,5,0,0,0,21432000000,0,0,0.01,0,0,0
20210605,70707452477964,6080891308929662,104,105,3,0,0,0,22203000320,0,0,0.00346,0,0,0
20210605,30607480914543,9020875294388025,104,108,5,0,0,0,7249000128,0,0,0.0074,0,0,0
20210605,40706426556602,7000954364130519,104,108,4557,164,2,0,136520174900608,135695,77643,14.12955,0,0,0
20210605,50604428212896,9021421826953475,104,204,1058,58,1,0,52818609110016,944001,41555,9.08906,0,0,0
20210605,60402262989318,2040348204263865,104,0,3934,32,5,0,67399048949568,3210575,0,57.21046,64.53999999999999,0,64.53999999999999
20210605,30607480914543,7000058680351710,104,105,1313,128,2,1,140175280191488,4164613,2091991,107.37948,0,28.88,28.88
20210605,10509414896986,3081003283994246,104,108,218,7,0,0,4307798982592,382327,31726,3.41531,0,0,0
20210605,60608308136142,6050658024115652,104,106,1647,30,5,2,32482061003264,5044871,1342380,89.39594,0,160.78,160.78
20210605,60005012352827,6001733391974745,104,108,566,20,1,0,19790148980992,794194,94974,7.10838,0,0,0
20210605,40903398619789,8000848884895564,104,10601,45,0,0,0,892218996992,0,0,0,0,0,0
20210605,60807476850604,4060255819345880,104,204,350,22,3,0,16187141972224,2334154,422603,64.69327,0,0,0
