process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,50901413830594,IEG,0,104,204,0.0,11,0,0,0,0.14,0.0
20210605,60402262989318,CSIG,1,104,315,0.0,0,0,535,51,0.0,396.0
20210605,50605442246954,IEG,1,405,0,0.0,0,0,16855,46,0.0,8837.87
20210605,90503492650537,IEG,0,301,0,213.7591598033905,26483,213,0,0,268.6171199999999,0.0
20210605,10005398496922,IEG,0,205,0,94.21501034498215,569,12,0,0,55.91281999999999,0.0
20210605,80904328951508,TME,0,204,0,79458.61351009645,179207,13764,1194,0,13656.84796,4600.0
20210605,30602476557982,CSIG,0,121,0,5.0,59,5,8,0,1.41,0.0
20210605,10907511528330,TME,1,204,0,0.0,0,0,391,0,0.0,0.0
20210605,30004260366441,CSIG,1,204,0,0.0,0,0,3,0,0.0,0.0
20210605,50906420844971,IEG,0,104,204,1.0,85,1,0,0,2.8,0.0
20210605,60807476850604,TKD,0,105,0,8039.631722599268,1321019,7675,5,1,40090.80005999998,170.0
20210605,10406450945135,阅文系,1,315,0,0.0,0,0,355,25,0.0,27.59
20210605,50806409090287,TME,1,302,205,0.0,0,0,5,0,0.0,0.0
20210605,70609460544983,IEG,0,105,204,0.0,26,0,0,0,1.35,0.0
20210605,60303415282763,IEG,0,315,0,0.0,1,0,0,0,0.0,0.0
20210605,30800591023329,TME,1,315,0,0.0,0,0,624,40,0.0,23.43
20210605,20306444885088,IEG,1,315,204,0.0,0,0,1,0,0.0,0.0
20210605,30005422732564,其他,1,405,205,0.0,0,0,1,1,0.0,0.0
20210605,70609460544983,IEG,1,301,0,0.0,0,0,6858,433,0.0,811.0699999999999
20210605,20201368893836,TKD,1,302,205,0.0,0,0,263,0,0.0,0.0
20210605,50104416453989,未分组1,1,204,0,0.0,0,0,304,2,0.0,340.51
20210605,20900420119451,QQ系,0,301,204,0.0,182,0,0,0,0.5300000000000001,0.0
20210605,90301475842282,TME,0,402,0,1.8446534872055054,162,2,0,0,0.29616000000000003,0.0
20210605,90301475842282,TME,0,106,0,5.0,172,5,0,0,4.7299999999999995,0.0
20210605,20105445936502,未分组1,0,405,204,2189.0,526591,2189,0,0,8777.284740000005,0.0
20210605,20102414297987,IEG,1,405,205,0.0,0,0,1829,5,0.0,546.0
20210605,70601378118790,TME,1,10801,0,0.0,0,0,200,1,0.0,1222.22
20210605,40701410311452,QQ系,0,104,108,1.5564275979995728,179,2,0,0,0.51,0.0
20210605,30502474797090,CSIG,0,315,204,0.0,4,0,0,0,0.16999999999999998,0.0
20210605,30502474797090,CSIG,0,105,0,1971.4414509534836,4146,320,0,0,121.5866100000001,0.0
20210605,60402262989318,CSIG,1,105,0,0.0,0,0,10971,50,0.0,2470.5699999999997
20210605,30506472073904,TME,1,104,10801,0.0,0,0,16822,27,0.0,6407.6
20210605,40706426556602,QQ系,0,301,108,843.3276796936989,17092,842,0,0,342.90999999999997,0.0
20210605,80303373095787,QQ系,0,405,205,51.20137441158295,4483,51,0,0,84.35,0.0
